A,F,ERN,TOTAL,GE10,OC1-5,NAC,EU27_2020	92.94 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,FI	21.03 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,FR	19.97 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,HR	63.51 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,HU	2898.46 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,IE	31.24 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,IS	3927.06 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,IT	16.9 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,LT	11.24 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,LU	33.28 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,LV	9.18 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,MT	12.3 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,NL	20.53 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,NO	303.24 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,PL	42.06 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,PT	9.54 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,RO	41.61 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,RS	663.75 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,SE	222.54 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,SI	13.19 
A,F,ERN,TOTAL,GE10,OC1-5,NAC,SK	8.93 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,AL	7.13 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,AT	16.77 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,BA	11.54 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,BE	25.81 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,BG	9.64 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,CH	26.79 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,CY	14.29 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,CZ	11.57 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,DE	18.95 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,DK	23.26 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,EA19	17.72 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,EA20	17.66 
A,F,ERN,TOTAL,GE10,OC1-5,PPS,EE	11.56 
