A,GE10,C-E,E_ITSP2,PC_ENT,EU27_2007	21.35 	20.81 	21.25 	21.32 	20.41 	20.31 	: 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT,EU27_2020	20.67 	20.52 	21.03 	20.91 	20.06 	19.98 	21.15 	20.97 	21.98 	21.12 
A,GE10,C-E,E_ITSP2,PC_ENT,EU28	21.34 	20.80 	21.25 	21.28 	20.39 	20.30 	21.73 	: 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT,FI	35.30 	28.20 	31.24 	26.83 	27.90 	30.59 	29.34 	34.75 	33.81 	34.92 
A,GE10,C-E,E_ITSP2,PC_ENT,FR	16.18 	16.91 	18.27 	16.90 	19.29 	18.83 	20.23 	19.12 	20.46 b	17.73 
A,GE10,C-E,E_ITSP2,PC_ENT,HR	19.55 	19.12 	21.77 	16.76 	18.32 	19.21 	20.47 	17.64 	16.75 	15.30 
A,GE10,C-E,E_ITSP2,PC_ENT,HU	29.10 	26.98 	25.25 	26.50 	25.96 	28.35 	27.40 	31.25 	35.48 	30.94 
A,GE10,C-E,E_ITSP2,PC_ENT,IE	35.58 	34.34 	33.54 	42.22 	45.90 	37.14 	35.88 	33.02 	37.42 	37.40 
A,GE10,C-E,E_ITSP2,PC_ENT,IS	17.42 	15.34 	: 	: 	12.34 	: 	: 	15.37 	: 	: 
A,GE10,C-E,E_ITSP2,PC_ENT,IT	15.83 	17.15 	17.81 	18.56 	16.50 	: u	18.06 	13.15 	14.28 	13.81 
A,GE10,C-E,E_ITSP2,PC_ENT,LT	22.39 	17.82 	16.86 	16.19 	16.13 	18.75 	16.83 	16.44 	18.69 	17.69 
A,GE10,C-E,E_ITSP2,PC_ENT,LU	41.30 	26.91 	34.61 	33.11 	32.77 	32.10 	31.87 	26.29 	27.98 	26.51 
A,GE10,C-E,E_ITSP2,PC_ENT,LV	21.59 	20.30 	17.52 	14.69 	12.20 	13.48 	: u	18.29 	18.74 	18.02 
A,GE10,C-E,E_ITSP2,PC_ENT,ME	: 	: 	: 	18.77 	23.43 	19.68 	14.99 	: u	25.27 	26.19 
A,GE10,C-E,E_ITSP2,PC_ENT,MK	: u	10.39 	: u	12.09 	: 	: 	: 	: @C	6.95 	: 
A,GE10,C-E,E_ITSP2,PC_ENT,MT	: u	19.10 	20.41 	: u	: u	: u	: u	: u	: u	: u
A,GE10,C-E,E_ITSP2,PC_ENT,NL	30.45 	32.39 	34.48 	30.52 	28.81 	27.95 	24.89 	25.87 	31.99 	31.11 
A,GE10,C-E,E_ITSP2,PC_ENT,NO	34.63 	23.56 	22.53 	21.54 	25.20 	23.93 	23.22 	20.08 	22.42 	20.63 
A,GE10,C-E,E_ITSP2,PC_ENT,PL	13.99 	11.46 	13.12 	13.03 	12.52 	13.56 	24.78 	28.01 	32.64 	26.62 
A,GE10,C-E,E_ITSP2,PC_ENT,PT	28.04 	18.15 	15.33 	15.74 	19.34 	17.13 	17.38 	18.59 	20.64 	19.64 
A,GE10,C-E,E_ITSP2,PC_ENT,RO	3.47 	10.08 	10.18 	9.45 	8.79 	8.29 	9.17 	15.62 	10.07 	10.39 
A,GE10,C-E,E_ITSP2,PC_ENT,RS	: 	19.11 	: 	: 	21.43 	19.37 	22.76 	17.64 	17.70 	19.23 
A,GE10,C-E,E_ITSP2,PC_ENT,SE	24.80 	21.60 	21.25 	17.71 	19.91 	18.55 	21.07 	23.79 	23.87 	25.64 b
