geo,nace_r2,spec_ict,year
HU,I,12.37,2020
HU,I,16.16,2022
HU,I,13.8,2024
HU,J,83.18,2020
HU,J,88.0,2022
HU,J,82.77,2024
HU,L,24.61,2020
HU,L,27.55,2022
HU,L,27.66,2024
HU,M,41.63,2020
HU,M,46.61,2022
HU,M,42.33,2024
HU,N,27.56,2020
HU,N,28.12,2022
HU,N,26.22,2024
IE,C,33.48,2020
IE,C,36.91,2022
IE,C,38.11,2024
IE,D,42.25,2020
IE,D,45.65,2022
IE,D,73.33,2024
IE,E,40.24,2020
IE,E,43.48,2022
IE,E,18.92,2024
IE,F,17.44,2020
IE,F,21.1,2022
IE,F,21.19,2024
IE,G,22.93,2020
IE,G,29.33,2022
IE,G,24.86,2024
IE,H,22.52,2020
IE,H,23.63,2022
IE,H,19.14,2024
IE,I,14.06,2020
IE,I,12.47,2022
IE,I,13.69,2024
IE,J,80.35,2020
IE,J,72.41,2022
IE,J,72.19,2024
IE,L,34.22,2020
IE,L,36.97,2022
IE,L,43.21,2024
IE,M,37.05,2020
IE,M,40.03,2022
IE,M,47.16,2024
IE,N,42.03,2020
IE,N,33.3,2022
IE,N,49.7,2024
IS,C,12.1,2020
IS,C,14.97,2022
IS,C,14.83,2024
IS,F,0.34,2020
IS,F,5.76,2022
IS,F,5.38,2024
IS,G,11.51,2020
IS,G,12.07,2022
IS,G,13.67,2024
IS,H,17.35,2020
IS,H,17.86,2022
IS,H,16.98,2024
IS,I,3.35,2020
IS,I,8.41,2022
IS,I,5.75,2024
IS,J,54.55,2020
IS,J,64.83,2022
IS,J,64.61,2024
IS,N,14.94,2020
IS,N,16.27,2022
IS,N,15.12,2024
IT,C,12.96,2020
IT,C,14.02,2022
IT,C,13.64,2024
IT,D,39.66,2020
IT,D,48.06,2022
IT,D,47.21,2024
IT,E,22.85,2020
IT,E,27.69,2022
IT,E,25.2,2024
IT,F,6.11,2020
IT,F,6.64,2022
IT,F,5.3,2024
IT,G,12.7,2020
IT,G,12.62,2022
IT,G,11.87,2024
IT,H,13.01,2020
IT,H,10.91,2022
IT,H,9.89,2024
IT,I,1.84,2020
IT,I,3.23,2022
IT,I,1.58,2024
IT,J,66.23,2020
IT,J,59.89,2022
IT,J,62.03,2024
IT,L,15.05,2020
IT,L,18.24,2022
IT,L,11.07,2024
IT,M,18.2,2020
IT,M,22.06,2022
IT,M,20.93,2024
IT,N,10.39,2020
IT,N,11.32,2022
IT,N,14.47,2024
LT,C,15.3,2020
LT,C,17.45,2022
LT,C,16.15,2024
LT,D,39.85,2020
LT,D,48.06,2022
LT,D,47.21,2024
LT,E,25.95,2020
LT,E,31.3,2022
LT,E,32.45,2024
LT,F,5.71,2020
LT,F,4.95,2022
LT,F,6.41,2024
LT,G,16.37,2020
LT,G,18.23,2022
LT,G,15.59,2024
LT,H,8.8,2020
LT,H,11.35,2022
LT,H,7.98,2024
LT,I,6.43,2020
LT,I,4.77,2022
LT,I,3.79,2024
LT,J,76.83,2020
LT,J,84.13,2022
LT,J,83.96,2024
LT,L,18.55,2020
LT,L,22.37,2022
LT,L,14.88,2024
LT,M,22.59,2020
LT,M,27.24,2022
LT,M,22.56,2024
LT,N,21.49,2020
LT,N,16.18,2022
LT,N,22.76,2024
LU,C,24.05,2020
LU,C,25.83,2022
LU,C,24.56,2024
LU,D,41.5,2020
LU,D,48.06,2022
LU,D,47.21,2024
LU,E,23.91,2020
LU,E,27.69,2022
LU,E,25.2,2024
LU,F,12.49,2020
LU,F,8.74,2022
LU,F,10.24,2024
LU,G,18.39,2020
LU,G,21.28,2022
LU,G,20.75,2024
LU,H,16.25,2020
LU,H,19.4,2022
LU,H,17.66,2024
LU,I,4.64,2020
LU,I,9.32,2022
LU,I,5.96,2024
LU,J,80.47,2020
LU,J,78.48,2022
LU,J,78.57,2024
LU,L,19.5,2020
LU,L,22.58,2022
LU,L,20.49,2024
LU,M,26.48,2020
LU,M,30.66,2022
LU,M,35.06,2024
LU,N,18.47,2020
LU,N,25.99,2022
LU,N,23.13,2024
LV,C,17.61,2020
LV,C,17.52,2022
LV,C,16.83,2024
LV,D,34.62,2020
LV,D,33.48,2022
LV,D,32.96,2024
LV,E,28.05,2020
LV,E,27.12,2022
LV,E,27.75,2024
LV,F,11.54,2020
LV,F,9.04,2022
LV,F,6.3,2024
LV,G,20.97,2020
LV,G,18.82,2022
LV,G,17.11,2024
LV,H,16.26,2020
LV,H,16.58,2022
LV,H,13.81,2024
LV,I,5.99,2020
LV,I,5.55,2022
LV,I,5.89,2024
LV,J,72.95,2020
LV,J,64.47,2022
LV,J,80.39,2024
LV,L,20.64,2020
LV,L,19.96,2022
LV,L,17.3,2024
LV,M,31.53,2020
LV,M,30.49,2022
LV,M,29.84,2024
LV,N,25.14,2020
LV,N,15.98,2022
LV,N,17.41,2024
MT,C,24.54,2020
MT,C,28.48,2022
MT,C,29.29,2024
MT,D,37.98,2020
MT,D,48.06,2022
MT,D,47.21,2024
MT,E,27.99,2020
MT,E,35.42,2022
MT,E,29.0,2024
MT,F,9.59,2020
MT,F,18.47,2022
