geo,nace_r2,real_wage,year
CY,P,26.3870773552724,2020
CY,P,25.804552590266876,2021
CY,P,24.961423254969592,2022
CY,P,25.676855895196503,2023
CY,P,25.53591254590486,2024
CY,P,26.34253769269863,2025
CY,Q,13.344035316544597,2020
CY,Q,13.049450549450551,2021
CY,Q,12.253789597894164,2022
CY,Q,13.013100436681224,2023
CY,Q,13.323084806559057,2024
CY,Q,13.637133660850417,2025
CY,R,13.243704223938998,2020
CY,R,13.245682888540031,2021
CY,R,14.52300989380049,2022
CY,R,14.235807860262009,2023
CY,R,14.518746263557947,2024
CY,R,14.822971370489583,2025
CY,S,10.835758001404635,2020
CY,S,10.890894819466247,2021
CY,S,10.710719796677862,2022
CY,S,11.091703056768559,2023
CY,S,11.358783841489453,2024
CY,S,11.604269015754701,2025
CZ,B,10.053859964093355,2020
CZ,B,10.251954821894007,2021
CZ,B,10.068130204390615,2022
CZ,B,10.074374577417174,2023
CZ,B,9.743252139565502,2024
CZ,B,10.167310167310168,2025
CZ,C,9.33572710951526,2020
CZ,C,9.470026064291922,2021
CZ,C,9.008327024981076,2022
CZ,C,8.857336037863421,2023
CZ,C,8.821593153390388,2024
CZ,C,9.330759330759332,2025
CZ,D,13.734290843806104,2020
CZ,D,14.335360556038228,2021
CZ,D,14.004542013626043,2022
CZ,D,14.46923597025017,2023
CZ,D,14.21988150098749,2024
CZ,D,15.379665379665378,2025
CZ,E,8.168761220825852,2020
CZ,E,8.51433536055604,2021
CZ,E,8.0999242997729,2022
CZ,E,8.045977011494253,2023
CZ,E,8.097432521395655,2024
CZ,E,8.494208494208493,2025
CZ,F,8.43806104129264,2020
CZ,F,8.774978279756732,2021
CZ,F,8.0999242997729,2022
CZ,F,7.978363759296822,2023
CZ,F,8.031599736668861,2024
CZ,F,8.815958815958815,2025
CZ,G,8.797127468581687,2020
CZ,G,9.296264118158124,2021
CZ,G,8.629825889477669,2022
CZ,G,8.451656524678837,2023
CZ,G,8.229098090849241,2024
CZ,G,8.751608751608751,2025
CZ,H,8.43806104129264,2020
CZ,H,8.51433536055604,2021
CZ,H,8.175624526873582,2022
CZ,H,7.978363759296822,2023
CZ,H,7.965766951942066,2024
CZ,H,8.622908622908623,2025
CZ,I,6.912028725314183,2020
CZ,I,7.037358818418767,2021
CZ,I,5.22331566994701,2022
CZ,I,5.070993914807302,2023
CZ,I,5.0691244239631335,2024
CZ,I,5.534105534105533,2025
CZ,J,15.260323159784559,2020
CZ,J,15.8992180712424,2021
CZ,J,15.442846328538984,2022
CZ,J,15.348208248816766,2023
CZ,J,15.404871626069779,2024
CZ,J,16.473616473616474,2025
CZ,K,14.991023339317772,2020
CZ,K,15.551694178974804,2021
CZ,K,15.14004542013626,2022
CZ,K,14.80730223123732,2023
CZ,K,14.483212639894665,2024
CZ,K,15.379665379665378,2025
CZ,L,9.245960502692999,2020
CZ,L,9.470026064291922,2021
CZ,L,9.689629068887209,2022
CZ,L,8.72210953346856,2023
CZ,L,9.611586570111916,2024
CZ,L,10.617760617760617,2025
CZ,M,12.29802513464991,2020
CZ,M,12.68462206776716,2021
CZ,M,12.036336109008328,2022
CZ,M,11.83231913455037,2023
CZ,M,11.84990125082291,2024
CZ,M,13.191763191763192,2025
CZ,N,6.463195691202872,2020
CZ,N,6.602953953084274,2021
CZ,N,6.207418622255866,2022
CZ,N,6.152805949966193,2023
CZ,N,6.254114549045424,2024
CZ,N,6.756756756756757,2025
CZ,O,10.68222621184919,2020
CZ,O,10.773240660295397,2021
CZ,O,9.992429977289932,2022
CZ,O,9.803921568627452,2023
CZ,O,9.216589861751153,2024
CZ,O,9.78120978120978,2025
CZ,P,9.874326750448832,2020
CZ,P,10.338835794960904,2021
CZ,P,9.538228614685844,2022
CZ,P,9.195402298850574,2023
CZ,P,8.558262014483212,2024
CZ,P,9.073359073359073,2025
CZ,Q,10.59245960502693,2020
CZ,Q,11.728931364031277,2021
CZ,Q,9.992429977289932,2022
CZ,Q,9.601081812035158,2023
CZ,Q,9.611586570111916,2024
CZ,Q,10.102960102960102,2025
CZ,R,8.617594254937162,2020
CZ,R,8.51433536055604,2021
CZ,R,7.342922028766086,2022
CZ,R,7.369844489519946,2023
CZ,R,7.241606319947333,2024
CZ,R,7.979407979407979,2025
CZ,S,7.271095152603231,2020
CZ,S,7.558644656820156,2021
CZ,S,6.585919757759273,2022
CZ,S,6.490872210953347,2023
CZ,S,6.84660961158657,2024
CZ,S,7.271557271557272,2025
DE,B,29.96219281663516,2020
DE,B,29.48717948717949,2021
DE,B,29.57034540859309,2022
DE,B,29.78554408260524,2023
DE,B,30.54263565891473,2024
DE,B,29.49203942380591,2025
DE,C,30.812854442344044,2020
DE,C,29.853479853479854,2021
DE,C,28.47514743049705,2022
DE,C,28.117553613979346,2023
DE,C,28.68217054263566,2024
DE,C,28.582259287338896,2025
DE,D,39.3194706994329,2020
DE,D,37.72893772893773,2021
DE,D,36.98399326032013,2022
DE,D,37.72835583796664,2023
DE,D,37.82945736434108,2024
DE,D,37.60424564063685,2025
DE,E,24.57466918714556,2020
DE,E,24.267399267399266,2021
DE,E,23.58887952822241,2022
DE,E,23.669579030976966,2023
DE,E,23.410852713178294,2024
DE,E,23.88172858225929,2025
DE,F,22.873345935727787,2020
DE,F,22.893772893772894,2021
DE,F,22.409435551811292,2022
DE,F,21.92216044479746,2023
DE,F,22.713178294573645,2024
DE,F,23.047763457164518,2025
DE,G,23.156899810964084,2020
DE,G,22.802197802197803,2021
DE,G,21.903959561920807,2022
DE,G,21.683876092136618,2023
DE,G,21.937984496124034,2024
DE,G,21.910538286580742,2025
DE,H,21.17202268431002,2020
DE,H,20.695970695970697,2021
DE,H,19.713563605728726,2022
DE,H,20.095313741064334,2023
DE,H,20.54263565891473,2024
DE,H,20.54586808188021,2025
DE,I,15.50094517958412,2020
DE,I,15.384615384615385,2021
DE,I,15.585509688289806,2022
DE,I,15.806195393169181,2023
DE,I,16.124031007751938,2024
DE,I,16.07278241091736,2025
DE,J,36.95652173913044,2020
DE,J,36.72161172161172,2021
DE,J,35.21482729570345,2022
DE,J,34.71008737092931,2023
DE,J,35.581395348837205,2024
DE,J,35.481425322213795,2025
DE,K,41.77693761814745,2020
DE,K,40.934065934065934,2021
DE,K,40.016849199663014,2022
DE,K,39.316918189038915,2023
DE,K,40.85271317829458,2024
DE,K,40.63684609552691,2025
DE,L,30.245746691871457,2020
DE,L,30.128205128205128,2021
DE,L,29.06486941870261,2022
DE,L,28.03812549642573,2023
DE,L,28.294573643410853,2024
DE,L,28.430629264594387,2025
