geo,nace_r2,year,share_high_skill
DK,P,2022,75.20259319286873
DK,P,2023,76.96768848384424
DK,P,2024,75.54391619661563
DK,P,2025,75.93275932759327
DK,Q,2020,54.67712733856367
DK,Q,2021,49.384645438562224
DK,Q,2022,49.53235350257683
DK,Q,2023,48.88931080311372
DK,Q,2024,48.82286995515695
DK,Q,2025,51.011773362766746
EE,C,2020,29.593639575971732
EE,C,2021,31.24448367166814
EE,C,2022,29.54739538855679
EE,C,2023,29.691629955947135
EE,C,2024,27.44539411206078
EE,C,2025,28.795298726738494
EE,G,2020,40.38461538461539
EE,G,2021,40.59278350515464
EE,G,2022,35.518474374255064
EE,G,2023,35.32219570405728
EE,G,2024,35.06944444444444
EE,G,2025,30.44982698961937
EE,H,2020,19.24882629107981
EE,H,2021,22.74774774774775
EE,H,2022,15.98272138228942
EE,H,2023,18.695652173913047
EE,H,2024,19.90950226244344
EE,H,2025,19.402985074626866
EE,J,2020,94.15807560137456
EE,J,2021,93.94904458598727
EE,J,2022,93.6111111111111
EE,J,2023,91.08635097493035
EE,J,2024,92.85714285714285
EE,J,2025,91.37055837563453
EE,M,2020,94.4055944055944
EE,M,2021,92.2829581993569
EE,M,2022,93.60902255639097
EE,M,2023,93.61702127659574
EE,M,2024,92.85714285714285
EE,M,2025,93.82716049382717
EE,O,2020,67.84810126582279
EE,O,2021,63.56968215158925
EE,O,2022,66.08478802992519
EE,O,2023,66.58227848101265
EE,O,2024,69.54177897574124
EE,O,2025,66.57681940700809
EE,P,2020,77.47252747252746
EE,P,2021,79.8951048951049
EE,P,2022,79.01023890784982
EE,P,2023,77.81512605042018
EE,P,2024,76.83333333333331
EE,P,2025,77.96610169491525
EL,C,2020,19.174690508940852
EL,C,2021,21.402502606882166
EL,C,2022,22.539052814282172
EL,C,2023,20.954712362301102
EL,C,2024,19.075568598679386
EL,C,2025,18.024811481391385
EL,F,2020,13.096960926193923
EL,F,2021,14.099783080260304
EL,F,2022,9.065743944636678
EL,F,2023,8.493490390576564
EL,F,2024,11.011738401341532
EL,F,2025,10.266940451745379
EL,G,2020,12.67645800655925
EL,G,2021,11.400029381519023
EL,G,2022,12.024048096192384
EL,G,2023,10.62130177514793
EL,G,2024,8.369160217827456
EL,G,2025,10.974274767378217
