geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict
EL,F,8.46,2023,2.14,3.4,12.5,22.96,3.13,12.72,6.13
EL,G,9.63,2021,2.26,1.88,28.8,22.28,3.1,18.51,16.51
EL,G,9.5,2023,2.25,4.34,25.0,24.71,3.21,24.06,22.43
EL,H,14.64,2021,2.68,5.43,33.5,38.74,3.66,28.35,15.76
EL,H,15.11,2023,2.72,5.91,34.7,48.57,3.88,27.38,18.88
EL,I,7.86,2021,2.06,0.12,19.1,13.19,2.58,13.11,4.46
EL,I,9.93,2023,2.3,1.33,14.9,18.81,2.93,14.11,2.0
EL,J,14.84,2021,2.7,11.16,65.5,54.55,4.0,56.01,47.59
EL,J,16.06,2023,2.78,17.5,63.3,55.19,4.01,70.58,47.27
EL,L,10.61,2021,2.36,0.82,55.2,1137.29,7.04,28.58,23.95
EL,L,9.32,2023,2.23,8.08,56.3,1040.05,6.95,35.41,32.39
EL,M,11.99,2021,2.48,9.2,65.5,22.06,3.09,27.64,26.0
EL,M,13.12,2023,2.57,8.67,70.4,25.47,3.24,34.24,35.16
EL,N,8.16,2021,2.1,1.84,30.3,19.74,2.98,21.44,18.42
EL,N,8.2,2023,2.1,4.69,35.2,26.25,3.27,22.69,19.23
ES,C,16.35,2021,2.79,7.42,40.7,67.51,4.21,17.03,18.04
ES,C,15.85,2023,2.76,8.68,41.8,76.33,4.34,13.05,16.99
ES,F,13.73,2021,2.62,3.77,24.5,48.58,3.88,7.48,13.04
ES,F,13.1,2023,2.57,4.63,25.4,52.01,3.95,6.03,12.78
ES,G,13.27,2021,2.59,5.99,34.8,46.29,3.83,17.21,20.72
ES,G,13.18,2023,2.58,6.79,34.2,50.48,3.92,17.6,22.76
ES,H,14.76,2021,2.69,9.02,33.0,48.81,3.89,16.57,18.99
ES,H,14.35,2023,2.66,7.04,31.7,57.8,4.06,11.18,14.85
ES,I,10.0,2021,2.3,3.57,23.5,37.98,3.64,4.43,14.77
ES,I,9.84,2023,2.29,6.38,23.1,53.51,3.98,6.18,10.52
ES,J,21.39,2021,3.06,26.65,82.3,76.82,4.34,60.49,46.39
ES,J,20.19,2023,3.01,32.43,82.6,83.93,4.43,66.52,61.86
ES,L,19.62,2021,2.98,12.87,61.2,610.55,6.41,14.27,26.15
ES,L,19.43,2023,2.97,9.35,63.3,636.84,6.46,16.5,34.66
ES,M,19.43,2021,2.97,13.72,83.9,52.18,3.95,26.03,25.66
ES,M,18.68,2023,2.93,16.14,84.4,57.76,4.06,30.1,34.02
ES,N,11.21,2021,2.42,7.77,25.5,29.29,3.38,14.17,17.29
ES,N,10.84,2023,2.38,8.97,25.6,33.93,3.52,13.61,18.34
FI,F,28.08,2021,3.34,9.39,19.6,74.47,4.31,8.67,23.07
FI,F,26.04,2023,3.26,5.18,19.9,77.27,4.35,13.56,22.52
FI,F,27.29,2025,3.31,24.01,21.3,77.47,4.35,15.61,22.86
FI,G,26.48,2021,3.28,13.32,29.4,66.49,4.2,24.47,36.78
FI,G,24.52,2023,3.2,10.79,28.4,70.81,4.26,25.66,48.37
FI,G,25.16,2025,3.23,34.26,28.9,72.99,4.29,26.54,42.6
FI,H,25.63,2021,3.24,5.7,17.4,59.18,4.08,16.46,26.62
FI,H,24.86,2023,3.21,8.37,16.9,71.19,4.27,15.8,18.32
FI,H,25.16,2025,3.23,12.93,18.9,73.9,4.3,16.43,18.61
FI,I,20.26,2021,3.01,4.92,15.8,33.71,3.52,9.64,16.05
FI,I,18.88,2023,2.94,2.46,14.4,44.36,3.79,8.67,22.74
FI,I,19.18,2025,2.95,23.53,14.9,44.94,3.81,10.26,17.41
FI,J,35.34,2021,3.57,40.64,69.1,117.71,4.77,86.91,75.13
FI,J,33.12,2023,3.5,48.19,63.4,119.35,4.78,88.7,77.58
FI,J,34.75,2025,3.55,79.79,70.0,138.64,4.93,83.22,78.54
FI,L,25.73,2021,3.25,18.67,51.1,1022.5,6.93,19.66,50.82
FI,L,25.2,2023,3.23,18.8,51.4,1054.33,6.96,21.08,59.1
FI,L,25.33,2025,3.23,50.93,48.0,1090.18,6.99,26.04,51.34
FI,M,31.94,2021,3.46,29.63,72.5,69.41,4.24,38.59,49.07
FI,M,29.58,2023,3.39,31.54,69.9,72.36,4.28,41.37,57.06
FI,M,30.41,2025,3.41,74.75,72.4,77.83,4.35,40.23,56.55
FI,N,19.41,2021,2.97,17.28,21.8,39.98,3.69,29.44,37.18
FI,N,19.13,2023,2.95,14.76,23.9,39.55,3.68,29.54,38.78
FI,N,20.57,2025,3.02,38.65,24.1,43.65,3.78,32.6,40.22
FR,C,26.1,2021,3.26,5.33,36.7,84.19,4.43,19.15,15.91
FR,C,25.15,2023,3.22,4.87,39.4,99.39,4.6,20.45,16.57
FR,E,24.42,2021,3.2,8.57,30.9,101.31,4.62,15.09,11.95
FR,E,23.15,2023,3.14,2.95,26.6,110.45,4.7,17.44,15.59
FR,F,23.4,2021,3.15,4.09,23.4,63.19,4.15,6.87,8.73
FR,F,22.66,2023,3.12,2.09,24.3,70.65,4.26,4.89,6.01
FR,G,22.38,2021,3.11,4.71,35.7,61.59,4.12,14.53,11.73
FR,G,21.41,2023,3.06,4.07,36.1,65.39,4.18,16.1,13.6
FR,H,21.55,2021,3.07,4.24,27.3,72.1,4.28,13.8,14.25
FR,H,21.41,2023,3.06,2.35,28.6,74.04,4.3,8.99,7.72
FR,I,17.18,2021,2.84,2.47,24.6,25.36,3.23,6.98,4.27
FR,I,16.76,2023,2.82,2.47,23.5,42.96,3.76,7.24,6.21
FR,J,33.06,2021,3.5,23.55,81.0,117.55,4.77,70.46,50.75
FR,J,31.37,2023,3.45,29.56,83.6,120.56,4.79,80.66,57.69
FR,L,26.1,2021,3.26,3.92,50.1,778.07,6.66,29.88,27.01
FR,L,24.48,2023,3.2,7.02,53.9,896.58,6.8,34.54,35.25
FR,M,32.23,2021,3.47,15.23,78.1,91.21,4.51,23.18,19.22
FR,M,30.46,2023,3.42,13.75,78.6,93.46,4.54,26.8,25.08
FR,N,19.04,2021,2.95,7.28,33.0,52.35,3.96,19.4,14.23
FR,N,18.51,2023,2.92,5.6,32.5,60.14,4.1,14.2,13.55
HR,C,10.4,2021,2.34,8.29,17.4,24.52,3.2,16.61,19.05
HR,C,10.71,2023,2.37,6.7,15.5,35.11,3.56,15.15,18.26
HR,E,7.65,2021,2.03,11.22,24.6,25.15,3.22,26.06,31.94
HR,E,7.56,2023,2.02,5.0,17.0,28.6,3.35,27.3,30.22
HR,F,8.69,2021,2.16,4.85,12.5,23.31,3.15,8.44,9.07
HR,F,9.22,2023,2.22,3.06,8.8,36.52,3.6,2.35,6.74
HR,G,8.51,2021,2.14,8.51,18.6,25.71,3.25,15.18,25.05
HR,G,8.9,2023,2.19,5.37,19.6,35.09,3.56,17.99,21.6
HR,H,7.18,2021,1.97,7.52,16.8,29.12,3.37,11.86,17.12
HR,H,7.48,2023,2.01,7.58,16.3,39.93,3.69,11.12,15.7
HR,I,8.03,2021,2.08,7.38,7.7,25.22,3.23,7.34,12.18
HR,I,8.51,2023,2.14,5.8,14.9,40.9,3.71,7.24,15.97
HR,J,16.82,2021,2.82,25.8,68.1,60.54,4.1,78.66,69.7
HR,J,17.49,2023,2.86,40.01,69.1,61.52,4.12,80.87,66.86
HR,M,12.57,2021,2.53,13.25,62.5,36.15,3.59,22.52,42.15
HR,M,13.0,2023,2.56,12.88,66.6,45.01,3.81,23.6,39.88
HR,N,6.24,2021,1.83,5.16,15.5,22.77,3.13,16.08,23.68
HR,N,6.85,2023,1.92,6.85,23.9,36.05,3.58,20.29,16.58
HU,C,7.56,2021,2.02,4.0,16.9,29.41,3.38,30.72,17.25
HU,C,7.29,2023,1.99,4.24,18.2,38.14,3.64,34.97,17.55
HU,D,11.42,2021,2.44,9.55,39.4,73.85,4.3,38.46,33.74
HU,D,10.27,2023,2.33,4.57,45.2,144.79,4.98,43.06,43.06
HU,E,6.47,2021,1.87,3.55,18.9,19.93,2.99,42.35,18.65
HU,E,6.1,2023,1.81,4.78,16.1,19.42,2.97,47.41,23.8
HU,F,6.13,2021,1.81,0.55,9.5,20.47,3.02,21.25,9.66
HU,F,5.85,2023,1.77,1.8,10.4,25.68,3.25,15.13,12.92
HU,G,6.8,2021,1.92,1.65,18.5,22.46,3.11,27.89,14.17
HU,G,6.35,2023,1.85,3.02,19.7,26.28,3.27,26.56,17.83
HU,H,6.8,2021,1.92,3.32,15.4,25.57,3.24,25.12,11.45
HU,H,6.35,2023,1.85,2.23,15.4,32.31,3.48,27.71,9.74
HU,I,4.28,2021,1.45,0.66,10.6,12.78,2.55,12.37,6.3
HU,I,4.42,2023,1.49,2.46,13.2,20.25,3.01,16.16,7.82
HU,J,12.01,2021,2.49,13.09,71.9,39.59,3.68,83.18,53.47
HU,J,11.33,2023,2.43,14.54,68.4,47.48,3.86,88.0,54.2
HU,L,6.47,2021,1.87,2.3,41.8,184.7,5.22,24.61,12.7
HU,L,6.41,2023,1.86,3.38,33.5,238.33,5.47,27.55,16.21
HU,M,10.42,2021,2.34,3.71,73.8,30.42,3.42,41.63,24.64
HU,M,9.9,2023,2.29,5.24,69.0,35.6,3.57,46.61,31.44
HU,N,5.46,2021,1.7,4.83,25.4,20.31,3.01,27.56,12.89
HU,N,5.17,2023,1.64,2.89,24.0,26.4,3.27,28.12,16.48
IE,C,28.47,2021,3.35,8.83,53.4,542.85,6.3,33.48,31.8
IE,C,27.16,2023,3.3,7.18,52.9,541.9,6.3,36.91,28.4
IE,D,45.46,2021,3.82,25.0,62.5,294.55,5.69,42.25,46.18
IE,D,42.28,2023,3.74,38.86,60.8,354.34,5.87,45.65,45.65
IE,F,26.64,2021,3.28,0.27,27.8,71.68,4.27,17.44,19.77
IE,F,25.21,2023,3.23,5.92,27.2,81.26,4.4,21.1,16.71
IE,G,22.59,2021,3.12,5.12,34.0,90.87,4.51,22.93,20.08
IE,G,21.48,2023,3.07,4.99,34.0,101.83,4.62,29.33,22.16
IE,H,24.61,2021,3.2,4.98,32.8,47.1,3.85,22.52,13.37
IE,H,23.09,2023,3.14,6.07,27.6,81.36,4.4,23.63,18.18
IE,I,16.99,2021,2.83,4.27,30.9,27.55,3.32,14.06,13.3
IE,I,15.53,2023,2.74,2.68,29.9,45.83,3.82,12.47,11.15
IE,J,45.56,2021,3.82,32.4,83.5,519.2,6.25,80.35,65.26
IE,J,45.67,2023,3.82,28.52,85.3,579.66,6.36,72.41,57.15
IE,M,34.56,2021,3.54,13.59,79.3,145.86,4.98,37.05,26.69
IE,M,32.94,2023,3.49,15.77,79.3,175.73,5.17,40.03,26.39
IE,N,23.65,2021,3.16,12.22,40.7,218.75,5.39,42.03,36.81
IE,N,21.99,2023,3.09,6.59,41.3,246.37,5.51,33.3,24.85
IT,C,19.24,2021,2.96,6.63,12.6,74.11,4.31,12.96,15.53
IT,C,17.95,2023,2.89,4.94,14.3,84.35,4.43,14.02,18.97
IT,C,18.74,2025,2.93,14.73,15.6,86.36,4.46,13.64,20.01
IT,F,16.0,2021,2.77,5.24,4.6,52.57,3.96,6.11,9.33
IT,F,14.97,2023,2.71,2.62,4.9,65.78,4.19,6.64,13.46
IT,F,16.09,2025,2.78,10.39,5.0,60.28,4.1,5.3,11.65
IT,G,18.29,2021,2.91,5.59,14.0,54.84,4.0,12.7,15.4
IT,G,16.29,2023,2.79,3.66,14.1,60.84,4.11,12.62,21.47
IT,G,16.73,2025,2.82,18.13,13.2,59.67,4.09,11.87,17.12
IT,H,17.81,2021,2.88,3.03,11.1,66.71,4.2,13.01,13.08
IT,H,16.13,2023,2.78,3.45,12.4,77.07,4.34,10.91,17.54
IT,H,16.41,2025,2.8,11.62,12.2,85.09,4.44,9.89,13.27
IT,I,13.24,2021,2.58,4.82,6.4,32.01,3.47,1.84,7.17
IT,I,11.66,2023,2.46,3.99,7.2,42.41,3.75,3.23,9.39
IT,I,11.99,2025,2.48,11.73,7.5,43.5,3.77,1.58,9.75
IT,J,24.19,2021,3.19,16.19,47.4,95.89,4.56,66.23,56.29
IT,J,22.0,2023,3.09,21.04,48.5,95.43,4.56,59.89,52.51
IT,J,22.45,2025,3.11,51.28,48.0,103.78,4.64,62.03,52.32
IT,L,21.05,2021,3.05,3.19,25.2,1214.62,7.1,15.05,12.6
IT,L,17.78,2023,2.88,2.73,25.6,1327.41,7.19,18.24,17.17
IT,L,18.42,2025,2.91,13.96,20.7,1352.5,7.21,11.07,19.44
IT,M,24.57,2021,3.2,8.68,43.7,65.58,4.18,18.2,20.09
IT,M,22.58,2023,3.12,9.23,45.3,72.86,4.29,22.06,27.38
IT,M,23.65,2025,3.16,35.72,45.6,72.71,4.29,20.93,28.21
IT,N,12.86,2021,2.55,6.22,12.3,39.8,3.68,10.39,11.96
IT,N,11.17,2023,2.41,6.73,13.7,44.43,3.79,11.32,19.21
IT,N,11.58,2025,2.45,15.97,15.4,47.35,3.86,14.47,16.81
LT,C,9.24,2021,2.22,5.06,31.6,39.27,3.67,15.3,12.73
LT,C,8.9,2023,2.19,4.83,34.0,47.56,3.86,17.45,11.2
LT,F,8.64,2021,2.16,1.11,27.0,34.07,3.53,5.71,7.87
LT,F,8.63,2023,2.16,2.4,29.9,41.16,3.72,4.95,4.59
LT,G,9.16,2021,2.21,2.79,43.1,40.45,3.7,16.37,15.49
LT,G,8.76,2023,2.17,4.39,43.6,48.47,3.88,18.23,16.15
LT,H,8.12,2021,2.09,3.84,35.5,49.67,3.91,8.8,5.25
LT,H,8.23,2023,2.11,4.97,36.4,61.01,4.11,11.35,6.33
LT,I,6.13,2021,1.81,3.8,21.1,20.31,3.01,6.43,5.51
LT,I,6.02,2023,1.8,0.55,31.9,31.23,3.44,4.77,4.96
LT,J,16.93,2021,2.83,22.77,85.5,42.85,3.76,76.83,53.44
LT,J,17.19,2023,2.84,26.68,80.2,54.87,4.0,84.13,63.1
LT,L,8.98,2021,2.19,1.3,56.1,231.74,5.45,18.55,6.66
LT,L,9.43,2023,2.24,2.65,54.6,295.71,5.69,22.37,8.22
LT,M,13.48,2021,2.6,7.22,87.1,34.79,3.55,22.59,19.87
LT,M,13.78,2023,2.62,4.07,81.9,35.65,3.57,27.24,24.53
LT,N,7.34,2021,1.99,6.35,38.2,29.3,3.38,21.49,21.65
LT,N,7.96,2023,2.07,5.46,39.8,36.08,3.59,16.18,12.73
LU,G,28.65,2021,3.36,9.14,38.3,100.59,4.61,18.39,21.32
LU,G,28.68,2023,3.36,14.61,39.9,119.76,4.79,21.28,19.49
LU,J,42.7,2021,3.75,28.69,71.8,165.5,5.11,80.47,70.91
LU,J,42.45,2023,3.75,31.66,74.0,223.21,5.41,78.48,69.59
LU,M,52.91,2021,3.97,20.8,80.5,140.72,4.95,26.48,22.21
LU,M,52.7,2023,3.96,21.98,79.6,148.68,5.0,30.66,28.53
LV,C,7.22,2021,1.98,2.61,22.3,35.71,3.58,17.61,12.59
LV,C,6.83,2023,1.92,4.14,22.0,37.11,3.61,17.52,11.71
LV,D,9.18,2021,2.22,2.88,53.3,71.71,4.27,34.62,20.57
LV,D,9.42,2023,2.24,8.36,54.7,105.22,4.66,33.48,19.71
LV,F,7.94,2021,2.07,3.32,21.9,25.49,3.24,11.54,14.68
LV,F,7.04,2023,1.95,1.51,24.0,34.66,3.55,9.04,11.59
LV,G,7.04,2021,1.95,3.05,29.1,29.62,3.39,20.97,16.34
LV,G,6.63,2023,1.89,2.41,31.7,37.11,3.61,18.82,15.62
LV,H,7.22,2021,1.98,3.45,29.3,28.39,3.35,16.26,12.79
LV,H,6.97,2023,1.94,4.1,30.2,35.65,3.57,16.58,12.17
LV,I,5.35,2021,1.68,0.28,16.2,12.41,2.52,5.99,8.11
LV,I,4.81,2023,1.57,1.01,13.8,21.54,3.07,5.55,4.23
LV,J,14.0,2021,2.64,13.71,64.6,53.74,3.98,72.95,51.08
LV,J,13.32,2023,2.59,20.93,62.9,58.98,4.08,64.47,49.51
LV,L,6.87,2021,1.93,2.7,28.7,107.03,4.67,20.64,15.38
LV,L,6.35,2023,1.85,5.85,30.8,139.43,4.94,19.96,14.74
LV,M,13.29,2021,2.59,9.28,78.6,40.53,3.7,31.53,25.65
LV,M,12.62,2023,2.54,11.37,77.0,44.75,3.8,30.49,24.58
LV,N,6.96,2021,1.94,4.01,29.6,25.04,3.22,25.14,17.87
