geo,nace_r2,ai_adoption,year
LV,L,7.96,2024
LV,L,11.45,2025
LV,M,9.28,2021
LV,M,10.325,2022
LV,M,11.37,2023
LV,M,23.46,2024
LV,M,29.02,2025
LV,N,4.01,2021
LV,N,5.305,2022
LV,N,6.6,2023
LV,N,8.42,2024
LV,N,12.33,2025
MT,C,6.23,2021
MT,C,8.145,2022
MT,C,10.06,2023
MT,C,13.66,2024
MT,C,17.77,2025
MT,F,7.62,2021
MT,F,8.335,2022
MT,F,9.05,2023
MT,F,9.36,2024
MT,F,10.63,2025
MT,G,7.12,2021
MT,G,8.28,2022
MT,G,9.44,2023
MT,G,10.21,2024
MT,G,14.82,2025
MT,H,15.0,2021
MT,H,15.725,2022
MT,H,16.45,2023
MT,H,20.63,2024
MT,H,18.68,2025
MT,I,7.88,2021
MT,I,7.715,2022
MT,I,7.55,2023
MT,I,9.8,2024
MT,I,10.52,2025
MT,J,25.35,2021
MT,J,30.32,2022
MT,J,35.29,2023
MT,J,55.07,2024
MT,J,60.61,2025
MT,L,14.72,2021
MT,L,13.24,2022
MT,L,11.76,2023
MT,L,12.48,2024
MT,L,19.84,2025
MT,N,8.64,2021
MT,N,10.515,2022
MT,N,12.39,2023
MT,N,17.05,2024
MT,N,23.28,2025
NL,C,12.42,2021
NL,C,12.08,2022
NL,C,11.74,2023
NL,C,18.03,2024
NL,C,28.56,2025
NL,D,24.78,2021
NL,D,36.36,2022
NL,D,47.94,2023
NL,D,46.84,2024
NL,D,54.56,2025
NL,E,11.46,2021
NL,E,11.045000000000002,2022
NL,E,10.63,2023
NL,E,14.81,2024
NL,E,21.42,2025
NL,F,7.39,2021
NL,F,6.055,2022
NL,F,4.72,2023
NL,F,8.88,2024
NL,F,21.29,2025
NL,G,12.04,2021
NL,G,12.515,2022
NL,G,12.99,2023
NL,G,23.15,2024
NL,G,30.47,2025
NL,H,11.48,2021
NL,H,10.27,2022
NL,H,9.06,2023
NL,H,10.99,2024
NL,H,19.65,2025
NL,I,4.96,2021
NL,I,5.4350000000000005,2022
NL,I,5.91,2023
NL,I,9.04,2024
NL,I,16.03,2025
NL,J,32.05,2021
NL,J,34.51,2022
NL,J,36.97,2023
NL,J,58.03,2024
NL,J,69.99,2025
NL,M,20.05,2021
NL,M,22.425,2022
NL,M,24.8,2023
NL,M,39.78,2024
NL,M,54.98,2025
NL,N,10.6,2021
NL,N,11.395,2022
NL,N,12.19,2023
NL,N,22.57,2024
NL,N,30.85,2025
NO,C,9.35,2021
NO,C,8.85,2022
NO,C,8.35,2023
NO,C,14.73,2024
NO,C,25.98,2025
NO,D,31.78,2021
NO,D,32.94,2022
NO,D,34.1,2023
NO,D,44.72,2024
NO,D,64.42,2025
NO,E,14.91,2021
NO,E,10.59,2022
NO,E,6.27,2023
NO,E,21.63,2024
NO,E,26.82,2025
NO,F,5.18,2021
NO,F,4.415,2022
NO,F,3.65,2023
NO,F,8.71,2024
NO,F,19.01,2025
NO,G,8.16,2021
NO,G,7.45,2022
NO,G,6.74,2023
NO,G,20.6,2024
NO,G,23.68,2025
NO,H,3.44,2021
NO,H,4.41,2022
NO,H,5.38,2023
NO,H,8.87,2024
NO,H,20.52,2025
NO,I,2.29,2021
NO,I,3.7,2022
NO,I,5.11,2023
NO,I,11.46,2024
NO,I,12.39,2025
NO,J,41.95,2021
NO,J,36.75,2022
NO,J,31.55,2023
NO,J,62.71,2024
NO,J,78.31,2025
NO,L,12.87,2021
NO,L,9.465,2022
NO,L,6.06,2023
NO,L,23.9,2024
NO,L,36.25,2025
NO,M,22.54,2021
NO,M,20.935,2022
NO,M,19.33,2023
NO,M,42.94,2024
NO,M,55.22,2025
NO,N,14.59,2021
NO,N,11.754999999999999,2022
NO,N,8.92,2023
