geo,nace_r2,real_wage,year,log_wage,ai_adoption,tert_edu,productivity,log_prod,spec_ict,training_ict,unempl_r,infl_r,gdp,log_gdp
ES,I,9.84,2023,2.29,6.38,23.1,53.51,3.98,6.18,10.52,12.2,3.4,30980.0,10.34
ES,J,21.39,2021,3.06,26.65,82.3,76.82,4.34,60.49,46.39,14.9,3.0,26090.0,10.17
ES,J,20.19,2023,3.01,32.43,82.6,83.93,4.43,66.52,61.86,12.2,3.4,30980.0,10.34
ES,L,19.62,2021,2.98,12.87,61.2,610.55,6.41,14.27,26.15,14.9,3.0,26090.0,10.17
ES,L,19.43,2023,2.97,9.35,63.3,636.84,6.46,16.5,34.66,12.2,3.4,30980.0,10.34
ES,M,19.43,2021,2.97,13.72,83.9,52.18,3.95,26.03,25.66,14.9,3.0,26090.0,10.17
ES,M,18.68,2023,2.93,16.14,84.4,57.76,4.06,30.1,34.02,12.2,3.4,30980.0,10.34
ES,N,11.21,2021,2.42,7.77,25.5,29.29,3.38,14.17,17.29,14.9,3.0,26090.0,10.17
ES,N,10.84,2023,2.38,8.97,25.6,33.93,3.52,13.61,18.34,12.2,3.4,30980.0,10.34
FI,F,28.08,2021,3.34,9.39,19.6,74.47,4.31,8.67,23.07,7.7,2.1,44890.0,10.71
FI,F,26.04,2023,3.26,5.18,19.9,77.27,4.35,13.56,22.52,7.2,4.3,48950.0,10.8
FI,F,27.29,2025,3.31,24.01,21.3,77.47,4.35,15.61,22.86,9.7,1.8,49850.0,10.82
FI,G,26.48,2021,3.28,13.32,29.4,66.49,4.2,24.47,36.78,7.7,2.1,44890.0,10.71
FI,G,24.52,2023,3.2,10.79,28.4,70.81,4.26,25.66,48.37,7.2,4.3,48950.0,10.8
FI,G,25.16,2025,3.23,34.26,28.9,72.99,4.29,26.54,42.6,9.7,1.8,49850.0,10.82
FI,H,25.63,2021,3.24,5.7,17.4,59.18,4.08,16.46,26.62,7.7,2.1,44890.0,10.71
FI,H,24.86,2023,3.21,8.37,16.9,71.19,4.27,15.8,18.32,7.2,4.3,48950.0,10.8
FI,H,25.16,2025,3.23,12.93,18.9,73.9,4.3,16.43,18.61,9.7,1.8,49850.0,10.82
FI,I,20.26,2021,3.01,4.92,15.8,33.71,3.52,9.64,16.05,7.7,2.1,44890.0,10.71
