freq,nace_r2,indic_sb,size_emp,geo,num_2016,flag_2016,num_2020,flag_2020
A,B,V12110,50-249,CZ,343.6,NaN,339.1,NaN
A,B,V12110,50-249,DE,2722.5,NaN,2810.2,NaN
A,B,V12110,50-249,DK,,NaN,545.3,NaN
A,B,V12110,50-249,EE,,NaN,51.5,NaN
A,B,V12110,50-249,EL,177.0,NaN,121.4,NaN
A,B,V12110,50-249,ES,810.1,NaN,906.7,NaN
A,B,V12110,50-249,EU27_2007,,NaN,,NaN
A,B,V12110,50-249,EU27_2020,25468.6,NaN,,NaN
A,B,V12110,50-249,EU28,28917.2,NaN,,NaN
A,B,V12110,50-249,FI,315.1,NaN,356.1,NaN
A,B,V12110,50-249,FR,1481.6,NaN,1289.1,NaN
A,B,V12110,50-249,HR,43.4,NaN,,NaN
A,B,V12110,50-249,HU,,NaN,,NaN
A,B,V12110,50-249,IE,,NaN,121.0,NaN
A,B,V12110,50-249,IS,0.0,p,0.0,p
A,B,V12110,50-249,IT,1146.1,NaN,1237.1,NaN
A,B,V12110,50-249,LT,117.1,NaN,,NaN
A,B,V12110,50-249,LU,,NaN,,NaN
A,B,V12110,50-249,LV,80.2,NaN,106.2,NaN
A,B,V12110,50-249,MK,,NaN,,NaN
A,B,V12110,50-249,MT,0.0,NaN,0.0,NaN
A,B,V12110,50-249,NL,14555.2,NaN,,NaN
A,B,V12110,50-249,NO,2130.8,NaN,3021.5,NaN
A,B,V12110,50-249,PL,756.4,NaN,817.2,NaN
A,B,V12110,50-249,PT,122.0,NaN,245.1,NaN
A,B,V12110,50-249,RO,298.0,NaN,375.4,NaN
A,B,V12110,50-249,RS,92.3,p,116.1,NaN
A,B,V12110,50-249,SE,341.9,NaN,374.8,NaN
A,B,V12110,50-249,SI,,NaN,,NaN
A,B,V12110,50-249,SK,,NaN,112.6,NaN
A,B,V12110,50-249,UK,3448.6,b,,NaN
A,B,V12110,GE250,AL,,NaN,177.6,NaN
A,B,V12110,GE250,AT,,NaN,,NaN
A,B,V12110,GE250,BA,335.9,e,367.6,NaN
A,B,V12110,GE250,BE,,NaN,,NaN
A,B,V12110,GE250,BG,982.4,NaN,1260.3,NaN
A,B,V12110,GE250,CH,0.0,NaN,,NaN
A,B,V12110,GE250,CY,0.0,NaN,0.0,NaN
A,B,V12110,GE250,CZ,2318.4,NaN,3649.2,NaN
A,B,V12110,GE250,DE,5920.1,NaN,4951.4,NaN
A,B,V12110,GE250,DK,,NaN,631.6,NaN
A,B,V12110,GE250,EE,240.5,NaN,134.0,NaN
A,B,V12110,GE250,EL,256.8,NaN,,NaN
A,B,V12110,GE250,ES,1149.4,NaN,1249.9,NaN
A,B,V12110,GE250,EU27_2007,,NaN,,NaN
A,B,V12110,GE250,EU27_2020,78596.0,NaN,36313.6,NaN
A,B,V12110,GE250,EU28,106131.3,NaN,,NaN
A,B,V12110,GE250,FI,685.7,NaN,,NaN
A,B,V12110,GE250,FR,1604.5,NaN,1893.0,NaN
A,B,V12110,GE250,HR,,NaN,,NaN
A,B,V12110,GE250,HU,,NaN,,NaN
A,B,V12110,GE250,IE,,NaN,,NaN
A,B,V12110,GE250,IS,0.0,p,0.0,p
A,B,V12110,GE250,IT,39370.4,NaN,,NaN
A,B,V12110,GE250,LT,0.0,NaN,0.0,NaN
A,B,V12110,GE250,LU,0.0,NaN,0.0,NaN
A,B,V12110,GE250,LV,,NaN,,NaN
A,B,V12110,GE250,MK,,NaN,,NaN
A,B,V12110,GE250,MT,0.0,NaN,0.0,NaN
A,B,V12110,GE250,NL,6446.8,NaN,,NaN
A,B,V12110,GE250,NO,54065.0,NaN,45842.6,NaN
A,B,V12110,GE250,PL,9383.2,NaN,9405.4,NaN
A,B,V12110,GE250,PT,408.4,NaN,407.4,NaN
A,B,V12110,GE250,RO,3856.5,NaN,1317.1,NaN
A,B,V12110,GE250,RS,347.7,p,275.6,NaN
A,B,V12110,GE250,SE,3265.7,NaN,3374.9,NaN
A,B,V12110,GE250,SI,,NaN,,NaN
A,B,V12110,GE250,SK,,NaN,333.3,NaN
A,B,V12110,GE250,UK,27535.4,b,,NaN
A,B,V12110,TOTAL,AL,,NaN,396.6,NaN
A,B,V12110,TOTAL,AT,2012.5,NaN,2020.7,NaN
A,B,V12110,TOTAL,BA,468.9,e,524.8,NaN
A,B,V12110,TOTAL,BE,819.2,NaN,740.9,NaN
A,B,V12110,TOTAL,BG,1255.2,NaN,1542.5,NaN
A,B,V12110,TOTAL,CH,2171.9,NaN,2009.0,NaN
A,B,V12110,TOTAL,CY,50.4,NaN,65.8,NaN
A,B,V12110,TOTAL,CZ,2868.5,NaN,4242.4,NaN
A,B,V12110,TOTAL,DE,11769.7,NaN,10808.0,NaN
A,B,V12110,TOTAL,DK,4295.0,NaN,2242.6,NaN
A,B,V12110,TOTAL,EE,407.3,NaN,362.0,NaN
A,B,V12110,TOTAL,EL,601.1,NaN,692.5,NaN
A,B,V12110,TOTAL,ES,3421.3,NaN,3436.0,NaN
A,B,V12110,TOTAL,EU27_2007,,NaN,,NaN
A,B,V12110,TOTAL,EU27_2020,124831.8,NaN,73101.1,NaN
A,B,V12110,TOTAL,EU28,160232.1,NaN,,NaN
A,B,V12110,TOTAL,FI,1487.1,NaN,2247.7,NaN
A,B,V12110,TOTAL,FR,6336.2,NaN,4791.0,NaN
A,B,V12110,TOTAL,HR,371.7,NaN,170.8,NaN
A,B,V12110,TOTAL,HU,355.5,NaN,632.8,NaN
A,B,V12110,TOTAL,IE,1365.4,NaN,737.0,NaN
A,B,V12110,TOTAL,IS,39.6,p,47.1,p
