freq,size_emp,nace_r2,indic_is,unit,geo,2021,2023,2024,2025
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,EA,,18.6,,18.13
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,EE,,34.91,,19.26
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,EL,,8.6,,8.03
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,ES,,8.78,10.06,10.59
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,EU27_2020,,19.64,,18.27
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,FI,,42.65,,
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,FR,,7.96,,11.68
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,HR,,10.9,,16.02
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,HU,,12.32,,16.5
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,IE,,33.04,,29.89
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,IT,,34.7,,30.61
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,LT,,12.32,,14.5
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,LU,,6.78,,8.91
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,LV,,8.98,,14.24
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,ME,,,,
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,MT,,32.42,,26.56
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,NL,,20.42,,17.0
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,NO,,52.1,,32.5
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,PL,,35.13,,29.32
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,PT,,10.71,,9.44
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,RO,,5.67,,6.75
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,RS,,11.28,,15.91
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,SE,,34.9,,26.45
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,SI,,18.56,,12.99
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,SK,,14.7,,11.78
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT,TR,,8.18,,10.56
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,AT,,17.84,,16.45
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,BA,,6.55,,11.94
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,BE,,13.39,,17.58
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,BG,,6.02,,4.23
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,CY,,24.24,,21.3
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,CZ,,19.56,,11.99
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,DE,,12.6,,13.62
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,DK,,27.18,,14.54
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,EA,,18.77,,18.23
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,EE,,35.23,,19.4
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,EL,,8.7,,8.21
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,ES,,8.86,10.13,10.65
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,EU27_2020,,19.83,,18.42
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,FI,,42.65,,
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,FR,,8.16,,11.75
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,HR,,11.39,,16.15
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,HU,,12.67,,17.3
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,IE,,33.17,,30.24
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,IT,,34.95,,30.84
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,LT,,12.32,,14.5
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,LU,,6.78,,8.91
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,LV,,8.98,,14.24
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,ME,,,,
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,MT,,33.1,,27.07
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,NL,,20.42,,17.0
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,NO,,52.37,,32.79
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,PL,,35.48,,29.77
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,PT,,11.05,,9.53
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,RO,,5.67,,6.77
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,RS,,11.28,,15.91
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,SE,,35.01,,26.49
A,GE10,C,E_AIX_CC1SI_DAX,PC_ENT_IUSE,SI,,18.73,,13.1
