freq,product,nrg_cons,unit,tax,currency,geo,2016,2020,flag_2016,flag_2020
S,6000,MWH20-499,KWH,X_TAX,EUR,EL,0.11495,0.1049,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,ES,0.1368,0.1,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,EU27_2020,0.09945,0.10025,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,FI,0.0766,0.08165,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,FR,0.08635,0.10495,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,GE,,0.05255,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,HR,0.1,0.10655,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,HU,0.0853,0.1017,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,IE,0.1407,0.15595,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,IS,0.07465,0.0716,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,IT,0.10205,0.0985,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,LI,,,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,LT,0.08685,0.09989999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,LU,0.0928,0.1,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,LV,0.10545,0.10314999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,MD,0.0852,0.0817,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,ME,0.09040000000000001,0.0833,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,MK,0.10275000000000001,0.09140000000000001,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,MT,0.15675,0.15034999999999998,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,NL,0.0796,0.08145,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,NO,0.0613,0.0407,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,PL,0.10205,0.10250000000000001,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,PT,0.1238,0.09964999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,RO,0.07865,0.10064999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,RS,0.0645,0.0861,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,SE,0.07344999999999999,0.07725,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,SI,0.08615,0.09815,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,SK,0.13024999999999998,0.12,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,TR,0.07450000000000001,0.0753,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,UA,,0.060200000000000004,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,UK,0.11195,,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,EUR,XK,0.0858,0.0785,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,AL,,12.83,NaN,e
S,6000,MWH20-499,KWH,X_TAX,NAC,AT,0.0886,0.1036,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,BA,0.16785,0.17285,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,BE,0.1199,0.11175,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,BG,0.19525,0.1827,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,CY,0.1301,0.12440000000000001,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,CZ,3.1237000000000004,3.2876000000000003,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,DE,0.0985,0.1004,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,DK,0.49634999999999996,0.59145,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,EA,0.1016,,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,EE,0.08055000000000001,0.078,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,EL,0.11495,0.1049,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,ES,0.1368,0.1,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,FI,0.0766,0.08165,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,FR,0.08635,0.10495,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,GE,,0.18580000000000002,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,HR,0.7538,0.80325,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,HU,26.5665,35.7074,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,IE,0.1407,0.15595,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,IS,9.9703,11.07,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,IT,0.10205,0.0985,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,LI,,,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,LT,0.08685,0.09989999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,LU,0.0928,0.1,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,LV,0.10545,0.10314999999999999,NaN,NaN
S,6000,MWH20-499,KWH,X_TAX,NAC,MD,1.87975,1.61215,NaN,NaN
